space,algorithm,config,n_components,n_neighbors,min_cluster_size,min_samples,cluster_count,noise_count,noise_fraction,coverage,smallest_cluster,largest_cluster,silhouette_original_cosine,ari_vs_zhicheng_shared,is_zhicheng_shared
umap10,hdbscan,nn5_hdbscan_mcs10_ms10,10,5,10,10,18,88,0.1925601750547046,0.8074398249452954,10,54,0.06435239315032959,0.42962558136347845,False
umap10,hdbscan,nn5_hdbscan_mcs12_ms1,10,5,12,1,17,34,0.07439824945295405,0.925601750547046,12,59,0.035559289157390594,0.4909577943269957,False
umap10,hdbscan,nn5_hdbscan_mcs12_ms3,10,5,12,3,17,38,0.08315098468271334,0.9168490153172867,12,59,0.03842753916978836,0.49328664790596105,False
umap10,hdbscan,nn5_hdbscan_mcs12_ms5,10,5,12,5,16,63,0.13785557986870897,0.862144420131291,12,59,0.04344816133379936,0.4678703508629712,False
umap10,hdbscan,nn5_hdbscan_mcs12_ms8,10,5,12,8,15,106,0.23194748358862144,0.7680525164113785,12,55,0.052515577524900436,0.3769043700188047,False
umap10,hdbscan,nn5_hdbscan_mcs12_ms10,10,5,12,10,16,109,0.23851203501094093,0.7614879649890591,12,54,0.05683758482336998,0.36844158351386697,False
umap10,hdbscan,nn5_hdbscan_mcs15_ms1,10,5,15,1,14,44,0.0962800875273523,0.9037199124726477,15,59,0.021085957065224648,0.4518777001932078,False
umap10,hdbscan,nn5_hdbscan_mcs15_ms3,10,5,15,3,14,47,0.10284463894967177,0.8971553610503282,15,59,0.023411767557263374,0.4528810408938295,False
umap10,hdbscan,nn5_hdbscan_mcs15_ms5,10,5,15,5,12,74,0.16192560175054704,0.838074398249453,15,68,0.020371314138174057,0.3914481199967182,False
umap10,hdbscan,nn5_hdbscan_mcs15_ms8,10,5,15,8,11,124,0.2713347921225383,0.7286652078774617,15,64,0.04507496580481529,0.30583529631107265,False
umap10,hdbscan,nn5_hdbscan_mcs15_ms10,10,5,15,10,11,135,0.29540481400437635,0.7045951859956237,15,65,0.04874525964260101,0.27853642923781075,False
umap10,hdbscan,nn5_hdbscan_mcs20_ms1,10,5,20,1,10,106,0.23194748358862144,0.7680525164113785,20,59,0.04615199938416481,0.34134512496810376,False
umap10,hdbscan,nn5_hdbscan_mcs20_ms3,10,5,20,3,9,107,0.23413566739606126,0.7658643326039387,20,74,0.040448274463415146,0.3204077744161207,False
umap10,hdbscan,nn5_hdbscan_mcs20_ms5,10,5,20,5,8,121,0.2647702407002188,0.7352297592997812,22,78,0.03786382079124451,0.28848497753302743,False
umap10,hdbscan,nn5_hdbscan_mcs20_ms8,10,5,20,8,8,155,0.33916849015317285,0.6608315098468271,20,75,0.037564974278211594,0.2277231820076416,False
umap10,hdbscan,nn5_hdbscan_mcs20_ms10,10,5,20,10,2,49,0.10722100656455143,0.8927789934354485,22,386,0.08309491723775864,0.03091859124398912,False
umap10,hdbscan,nn10_hdbscan_mcs5_ms1,10,10,5,1,36,62,0.13566739606126915,0.8643326039387309,5,24,0.053761426359415054,0.42695039054528516,False
umap10,hdbscan,nn10_hdbscan_mcs5_ms3,10,10,5,3,31,77,0.16849015317286653,0.8315098468271335,5,29,0.059891074895858765,0.4546571361987742,False
umap10,hdbscan,nn10_hdbscan_mcs5_ms5,10,10,5,5,23,97,0.212253829321663,0.787746170678337,6,52,0.06024772673845291,0.42964479733764227,False
