space,config,algorithm,cluster_count,noise_count,noise_fraction,coverage,smallest_cluster,largest_cluster,silhouette_original_cosine,eps,min_samples,min_cluster_size,selected
umap5,dbscan_eps0.477741_ms5,dbscan,8,11,0.024070021881838075,0.975929978118162,8,357,-0.013878186233341694,0.477741,5.0,,False
umap5,dbscan_eps0.262264_ms8,dbscan,15,262,0.5733041575492341,0.42669584245076586,5,22,0.18870912492275238,0.262264,8.0,,True
umap5,dbscan_eps0.269260_ms8,dbscan,15,243,0.5317286652078774,0.4682713347921225,7,28,0.16581352055072784,0.26926,8.0,,False
umap5,dbscan_eps0.279224_ms8,dbscan,14,231,0.5054704595185996,0.49452954048140046,9,42,0.16753271222114563,0.279224,8.0,,False
umap5,dbscan_eps0.288487_ms8,dbscan,14,227,0.49671772428884026,0.5032822757111597,9,44,0.1618167608976364,0.288487,8.0,,False
umap5,dbscan_eps0.295963_ms8,dbscan,13,221,0.48358862144420134,0.5164113785557987,9,48,0.15035030245780945,0.295963,8.0,,False
umap5,dbscan_eps0.302702_ms8,dbscan,15,198,0.43326039387308535,0.5667396061269147,8,48,0.13816238939762115,0.302702,8.0,,False
umap5,dbscan_eps0.308395_ms8,dbscan,16,187,0.40919037199124725,0.5908096280087527,8,48,0.12784205377101898,0.308395,8.0,,False
umap5,dbscan_eps0.315925_ms8,dbscan,18,165,0.3610503282275711,0.6389496717724289,8,48,0.11497320234775543,0.315925,8.0,,False
umap5,dbscan_eps0.325339_ms8,dbscan,17,154,0.33698030634573306,0.6630196936542669,8,49,0.11835021525621414,0.325339,8.0,,False
umap5,dbscan_eps0.333136_ms8,dbscan,17,145,0.3172866520787746,0.6827133479212254,9,52,0.11372551321983337,0.333136,8.0,,False
umap5,dbscan_eps0.340350_ms8,dbscan,17,140,0.3063457330415755,0.6936542669584245,9,52,0.11271972209215164,0.34035,8.0,,False
umap5,dbscan_eps0.348699_ms8,dbscan,17,134,0.29321663019693656,0.7067833698030634,10,54,0.10716385394334793,0.348699,8.0,,False
umap5,dbscan_eps0.360907_ms8,dbscan,15,124,0.2713347921225383,0.7286652078774617,11,80,0.09487903863191605,0.360907,8.0,,False
